time,TotalEnergy
0,0
1,318.9660716594
1.1407100423,318.9372551655
2.9990376221,318.426241933
5,317.3990890352
5.6611454885,316.8571230327
10,305.2930974789
16.6076046208,234.8142454612
20,216.5019619571
25.8204990125,205.7136702485
39.7674893502,186.523510745
50,172.7021052704
54.6102237387,166.7420534817
70.2081473878,150.6708587567
87.8617025695,138.3504861049
100,131.629957347
105.6037557682,129.2204377647
126.4135479779,123.2976472464
156.3991187071,118.037822873
200,112.2609462899
248.4044455209,107.1833165808
302.5255391658,102.5002527407
332.7866786687,99.2970593449
352.6768401695,98.0085561408
385.0758173638,96.2302378449
437.8503372288,93.5449272357
500,90.373647098
507.5350822949,89.9412786286
532.4008538682,87.9956886911
558.0776809171,86.7094116369
588.8372219658,85.0393266474
635.4739256883,83.2975859736
674.116447642,81.3660838385
693.2202173746,80.6748271716
724.3382452433,79.6895452423
769.6985995093,78.2725810087
817.0498132611,76.8775077904
876.0349157948,75.3245387689
948.061987136,73.6081043217
1000,72.4380627677
1014.4743396954,72.1205949863
1089.0171891265,70.5472710251
1172.8972111951,68.9109223034
1277.5259572993,67.0592050191
1409.5669740128,64.9182815351
1546.0346051741,62.6531856078
1580.1515129645,61.7939001805
1616.0617120436,61.0496641217
1670.8293532783,60.4200338692
1757.0923804086,59.4548458974
1852.1408092126,58.4026019057
1947.1892380167,57.3705947753
2000,56.8132342571
2038.0193715216,56.4212734532
2133.0678003256,55.4469707201
2192.4730683281,54.460409111
2221.0507193903,54.0599498756
2267.4163875145,53.7735653871
2342.9411751889,53.3717759807
2465.9630960203,52.7911886192
2659.7315887843,51.982367
2873.2343071751,51.1267676348
2986.6576263202,50.440835944
3000,50.2925867797
3001.7882128886,50.2812473002
3025.4047599094,50.1766026513
3063.8736264545,50.0712880046
3126.5353564682,49.9342199031
3228.6047117919,49.725944324
3394.8649362375,49.4051049118
3665.6853224836,48.9174573486
4099.4147443959,48.1913357718
4660.3578200102,47.2997680629
5284.360533533,46.327190459
5945.7044332292,45.2908986472
6607.0483329253,44.2289003998
7268.3922326215,43.1189333584
7929.7361323176,41.9242836859
8591.0800320138,40.5507041671
9054.0207618011,39.2025717101
9133.7953697019,38.4907047334
9147.4426011463,38.2992724356
9169.6725031164,38.1799605229
9205.8826709893,38.0763537362
9264.8652188721,37.9616930414
9360.9415741922,37.7913397126
9517.4398331333,37.5050928638
9768.0100047134,36.9982915407
10000,36.3940259019
10028.518042683,36.2927430334
10102.576948763,35.8213145024
10124.864804951,35.4467311609
10159.643341515,35.3069157989
10216.293912852,35.1948499867
10308.571724106,35.0734910488
10458.882555029,34.8957134198
10703.723059865,34.6091975717
11095.738458131,34.1435611662
11376.263392038,33.7813826626
11405.54283345,33.5195615974
11441.180936678,33.2201308246
11494.09755465,32.9088487796
11568.384173669,32.5706894111
11663.962239735,32.2145197411
11786.810958476,31.8573165816
11955.29693371,31.4765280894
12179.356914269,30.9892770172
12351.218468756,30.0835771865
12369.083395726,29.8958542237
12398.183479275,29.7890948242
12445.584449006,29.7066140077
12522.795633906,29.6404060964
12648.564518115,29.5697416275
12853.428777821,29.468442999
13187.131069673,29.3179614927
13730.696939815,29.0975878911
14586.852807514,28.7915667175
15628.60655989,28.4655006429
16720.652685958,28.1634215363
17812.698812027,27.8883010692
18904.744938095,27.6302863879
19996.791064163,27.3789618687
21088.837190232,27.1236939762
